month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
9,2002,908,333.0704845814978,305.67433920704843,42.72444933920705,25.775383128035322,17.397028954966885,217.73097224172184,8.378354173068438,21.586206041501104
10,2002,403,331.28709677419357,303.2136476426799,37.38188585607941,30.161956523690773,18.170648468,65.99025168775,11.991308055690773,24.166302495845386
11,2002,63,324.24444444444447,297.08412698412695,31.615873015873014,30.494060786885246,18.338176655737705,60.89476047540984,12.155884131147541,24.416118721311477
12,2002,49,325.68775510204085,300.55510204081634,25.989795918367346,29.764862918367346,18.110063276595742,177.6017414893617,11.654799641771604,23.937463097481544
1,2003,317,326.33785488958995,304.22965299684546,26.77570977917981,27.95775334405145,18.999968453376205,14.659359528488746,8.957784890675246,23.478860898713826
2,2003,972,329.2990740740741,303.76851851851853,38.52777777777778,27.087407665968588,17.53964601937173,208.70588620837694,9.547761646596857,22.313526842670157
3,2003,1289,333.24166020170674,304.2265321955004,56.464080682699766,26.201523798245614,16.83378410956938,64.51915320365757,9.367739688676235,21.517653953907498
4,2003,255,328.6674509803921,299.7258823529412,29.850980392156863,26.981783109756098,17.985884734959352,64.538403547125,8.995898374796745,22.483833922357725
5,2003,97,328.080412371134,299.0505154639175,29.04845360824742,29.1470146185567,19.871822092783507,45.44051075625,9.275192525773193,24.509418355670103
6,2003,53,320.3301886792453,295.31509433962265,19.918867924528303,29.832631509433963,16.934215396226413,42.91815360754717,12.89841611320755,23.383423452830186
7,2003,127,323.8141732283465,298.7661417322835,26.856692913385828,27.517466341463415,17.29601180487805,57.06244691869919,10.221454536585366,22.406739073170733
8,2003,351,326.78319088319085,299.49002849002846,39.11196581196581,27.92587427272727,18.31096910410557,90.82478776246334,9.6149051686217,23.11842168841642
9,2003,965,333.26373056994817,306.0586528497409,39.13160621761658,27.062605104058274,18.51898570239334,46.67449067845994,8.543619401664934,22.790795403225808
10,2003,793,330.8687263556116,303.3349306431274,40.86834804539723,30.5093426111817,19.219557064167724,8.43047287956798,11.289785547013977,24.864449837674712
11,2003,174,328.37471264367815,302.5040229885057,44.01379310344828,31.823285101190475,18.518706104761904,63.93636702083334,13.304578996428571,25.17099560297619
12,2003,218,325.6114678899083,303.14633027522933,27.895412844036695,30.03544635436893,18.241750345145633,187.09598374271843,11.793696009223297,24.13859834975728
1,2004,230,326.03608695652173,301.52000000000004,29.280869565217394,27.149468683035714,17.842281697767856,51.99520626875,9.307186985267858,22.495875190401783
2,2004,361,329.4703601108033,302.76842105263154,31.06731301939058,27.901165355932203,17.936201593502826,150.70517877118644,9.964963762429377,22.918683474717515
3,2004,625,332.2736,301.7568,46.8848,27.682765567656766,18.991999640429043,95.95767442275748,8.690765927227723,23.337382604042904
4,2004,94,326.5585106382979,299.1170212765957,34.24148936170213,29.214659080459768,20.51251814942529,51.42861287790698,8.702140931034478,24.86358861494253
5,2004,125,323.7704,298.56640000000004,26.0936,28.141455336,19.850188208,49.30223592426229,8.291267128000001,23.995821772
6,2004,160,323.34499999999997,299.14250000000004,30.625,28.078127322368424,15.371096811184211,45.46892123642384,12.707030511184213,21.724612066776317
7,2004,276,327.006884057971,298.8242753623188,45.765942028985506,27.45558363888889,15.642851291111112,72.85697738888888,11.812732347777777,21.549217465
8,2004,323,330.26780185758514,303.9811145510836,34.756965944272444,28.5173963364486,17.37839518068536,150.31667000623054,11.13900115576324,22.94789575856698
9,2004,1012,336.5776679841897,308.0144268774703,42.02361660079052,27.906468091089106,17.993659962079207,85.10199871683169,9.9128081290099,22.95006402658416
10,2004,251,330.79163346613547,304.07290836653385,36.07490039840637,29.478043252,19.146146852,28.8260421392,10.331896399999998,24.312095052
11,2004,77,325.7038961038961,300.7597402597403,30.01948051948052,32.24276641558441,20.520128233766233,57.69470822077922,11.72263818181818,26.38144732467532
12,2004,60,327.315,301.4216666666667,34.059999999999995,29.667879033898306,17.133519408474577,152.57396362711864,12.534359625423729,23.400699221186443
1,2005,407,327.72628992628995,303.36830466830463,31.306633906633905,27.63496258808933,15.890078050868487,27.966493777915634,11.744884537220843,21.76252031947891
2,2005,984,330.9366869918699,302.7110772357724,45.96707317073171,25.805532388541668,13.993202651559251,148.40525736174635,11.812329736982417,19.89936752005046
3,2005,680,334.78499999999997,302.70941176470586,58.828823529411764,28.650789171428574,19.435736894251136,73.32169826486239,9.215052277177438,24.043263032839853
4,2005,173,326.4549132947977,300.34104046242777,40.05606936416185,28.075142307228916,18.159649281212122,55.278555331677026,9.915493026016794,23.11739579422052
5,2005,46,324.35434782608695,297.53478260869565,27.619565217391305,31.698407522727276,18.965451344444446,33.23961031363636,12.73295617828283,25.331929433585863
6,2005,29,320.22758620689655,294.0137931034483,28.137931034482758,27.730622586206895,14.957061268965518,58.37196142307692,12.773561317241377,21.343841927586205
7,2005,83,320.8686746987952,296.62048192771084,29.59036144578313,26.28258361445783,16.138041623376623,73.06678331168831,10.144541991081208,21.21031261891723
8,2005,213,327.58779342723005,303.74037558685444,29.285446009389673,28.46448832394366,18.757004319248825,83.0404874882629,9.707484004694834,23.610746321596242
9,2005,993,334.48761329305137,305.1086606243706,45.70855991943605,29.803619983822042,17.24286014070707,60.60217295656566,12.560759843114973,23.523240062264556
10,2005,640,329.11171875,302.6696875,40.99140625,30.228449614173226,17.925115794670848,18.949795642946707,12.303333819502377,24.076782704422037
11,2005,125,324.2824,297.692,40.912800000000004,29.234831883333335,16.727976921008405,77.8777472605042,12.50685496232493,22.98140440217087
