rmse_train,rmse_test,mase_test,bias_test,theta,n,time_period,years,theta_param,model_type,n_months
120.78150445252258,103.46445992231966,0.4077032425055199,-21.005351343191467,1.5,60,five_year,5,1.5,BNB,60
147.32489554209585,149.5650641431154,0.3108645031776815,-24.34452428433382,1.5,60,five_year,5,1.5,BNB,60
95.21971845059822,124.94681710094666,0.4626605035110527,9.904841530238128,1.5,60,five_year,5,1.5,BNB,60
74.46014991350712,127.0999242403818,0.4263656327582129,-25.239743785935005,1.5,60,five_year,5,1.5,BNB,60
127.12995181876452,66.55384386094845,0.3129929644327509,-0.7757979628068552,1.5,60,five_year,5,1.5,BNB,60
126.12312910738116,206.45873942533424,0.4892788198951696,-48.83314874948088,1.5,60,five_year,5,1.5,BNB,60
121.37984440454372,138.585332350875,0.487645032841715,6.199776440711792,1.5,60,five_year,5,1.5,BNB,60
156.86599996649133,123.71666556068884,0.4117081040543132,17.413510614083627,1.5,60,five_year,5,1.5,BNB,60
101.27340093984496,140.14033499772037,0.396561575639814,-9.425881170125985,1.5,60,five_year,5,1.5,BNB,60
151.93981773163912,146.26462530358043,0.4347208907864767,-14.534505146169373,1.5,60,five_year,5,1.5,BNB,60
99.89273435717566,143.5500034280143,0.5104171410526858,16.602431152142575,1.5,60,five_year,5,1.5,BNB,60
127.54454474336544,176.63176108808145,0.4248818537210627,-11.746154877788216,1.5,60,five_year,5,1.5,BNB,60
120.04733311175916,149.0608785320439,0.5534602677672651,39.68452364760228,1.5,60,five_year,5,1.5,BNB,60
101.60196457215348,102.20512857368254,0.3262577198765431,-13.777761630768923,1.5,60,five_year,5,1.5,BNB,60
151.0657888804191,171.41723477907672,0.4280896122041342,-43.58288757281028,1.5,60,five_year,5,1.5,BNB,60
143.53019448767444,83.36349250718442,0.355511211053776,18.588956519305952,1.5,60,five_year,5,1.5,BNB,60
133.26642795889856,146.7254360844763,0.3878686217402678,44.506805078799616,1.5,60,five_year,5,1.5,BNB,60
209.81777871477132,151.3315092721774,0.4780944485356719,5.023329632985025,1.5,60,five_year,5,1.5,BNB,60
143.09646364255252,237.4555811906584,0.3681610630353339,-50.859522321480455,1.5,60,five_year,5,1.5,BNB,60
135.8801971805843,144.982526006982,0.4654449976729033,-2.026710470825944,1.5,60,five_year,5,1.5,BNB,60
91.83222660724518,155.19057446721442,0.4385950026254753,-47.19052560002611,1.5,60,five_year,5,1.5,BNB,60
113.6094799188155,78.0793024782068,0.3095016969131308,-6.884198179384364,1.5,60,five_year,5,1.5,BNB,60
133.81107017403662,163.179446240749,0.4669138861214005,18.51681757884923,1.5,60,five_year,5,1.5,BNB,60
110.07708020115756,207.0811065870831,0.4779788959365538,-66.9053239223158,1.5,60,five_year,5,1.5,BNB,60
100.34608736846126,159.11320634882748,0.3463666503145637,-16.253273404949176,1.5,60,five_year,5,1.5,BNB,60
124.77728201704744,131.67323150871226,0.3637176534891128,-9.131552838358358,1.5,60,five_year,5,1.5,BNB,60
127.65666188444658,132.60646047728844,0.6017535874409945,17.938422844093488,1.5,60,five_year,5,1.5,BNB,60
112.35481845476296,130.70634124818778,0.3621894127552333,6.167418596626179,1.5,60,five_year,5,1.5,BNB,60
76.18742161741447,97.53239841725804,0.3913995538873619,-8.792849806486073,1.5,60,five_year,5,1.5,BNB,60
89.66054991270138,56.07192130535268,0.3273932544579612,11.868870126145582,1.5,60,five_year,5,1.5,BNB,60
132.57424515820256,125.00791393185044,0.4064712537993619,22.66857153353808,1.5,60,five_year,5,1.5,BNB,60
142.03478909731894,112.0164819816579,0.4626737237974397,-22.584080677845535,1.5,60,five_year,5,1.5,BNB,60
