,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear10_10_37,394.6281873485471,444.05944609552745,0.8645712476586968,-inf,10.0,120.0
dyear10_10_38,411.00661491027125,376.11794471060983,0.627580168909227,-0.3723196483935831,10.0,120.0
dyear10_10_39,397.8649791910148,378.74089648025426,0.7355065977905073,-inf,10.0,120.0
dyear10_10_40,403.6946556495392,405.9246646033391,0.742602788782202,-inf,10.0,120.0
dyear10_10_41,425.52626730516494,392.8558896083906,0.6647660349073776,-inf,10.0,120.0
dyear10_10_42,391.3124550790583,380.37749889638144,0.7209669278068397,-inf,10.0,120.0
dyear10_10_43,399.2908557680729,405.33191131877754,0.8304012874486,-inf,10.0,120.0
dyear10_10_44,378.50778833906884,417.23519546334217,0.8733548993585489,-inf,10.0,120.0
dyear10_10_45,398.79204323807664,426.3295380336671,0.9055300542369508,-inf,10.0,120.0
dyear10_10_46,404.8357434400607,388.4134395203132,0.7392194483650906,-inf,10.0,120.0
dyear10_10_47,391.7226644366309,424.73221956114105,0.8122462550748986,-inf,10.0,120.0
dyear10_10_48,382.2836942856269,387.38412245900497,0.781012504826929,-inf,10.0,120.0
dyear10_10_49,368.01205822635757,414.2013399302325,0.7293629818974793,-inf,10.0,120.0
dyear10_10_50,405.53214782143556,423.88805519067574,0.8389284065388016,-inf,10.0,120.0
dyear10_10_51,377.5359116472675,431.8013625113597,0.8604116521631796,-inf,10.0,120.0
dyear10_10_52,375.90167985347796,413.7580814920719,0.7776591417531015,-inf,10.0,120.0
dyear10_10_53,419.90973732458264,383.0420995138785,0.599929413309695,-inf,10.0,120.0
dyear10_10_54,389.6794088307293,412.31607010480036,0.7047788220409823,-inf,10.0,120.0
dyear10_10_55,391.2652952281866,378.5328585473129,0.715618386539092,-inf,10.0,120.0
dyear10_10_56,379.5141631085723,448.3533762558279,0.8673738653156006,-inf,10.0,120.0
dyear10_10_57,377.35571193945555,396.0364566551923,0.7295587620242576,-inf,10.0,120.0
dyear10_10_58,402.73890425435684,448.7801986124908,0.8065446752390373,-inf,10.0,120.0
dyear10_10_59,357.6458764150185,400.61270781974287,0.8427815687047348,-inf,10.0,120.0
dyear10_10_60,360.8599249247091,384.51918027583486,0.6731665319732943,-inf,10.0,120.0
dyear10_10_61,354.2958538895612,355.98179962838924,0.7903440879862869,-inf,10.0,120.0
dyear10_10_62,430.9573161385398,326.00747690812244,0.5821753049325751,-inf,10.0,120.0
dyear10_10_63,388.53173132963025,381.8169827722876,0.746531326897596,-inf,10.0,120.0
dyear10_10_64,384.47063173494365,364.8833717778874,0.6601740867579909,-inf,10.0,120.0
dyear10_10_65,368.0076708892538,435.85003154754963,0.7906118143459916,-inf,10.0,120.0
dyear10_10_66,383.2579500153911,425.93994099325005,0.8458000822068666,-inf,10.0,120.0
dyear10_10_67,376.5360346854822,411.25088652386717,0.8550076776983069,-inf,10.0,120.0
dyear10_10_68,366.0729236322548,424.0773809106069,0.8535471537807986,-inf,10.0,120.0
dyear10_10_69,412.32425549155687,350.1887586240693,0.5462477566827241,-1.650116449249179,10.0,120.0
dyear10_10_70,408.81094092094287,467.64618926420576,0.7237494104750615,-inf,10.0,120.0
dyear10_10_71,358.6352168290225,371.5085239040059,0.7384046890927625,-inf,10.0,120.0
dyear10_10_72,402.35269043464837,442.22467894348307,0.9084601817254725,-inf,10.0,120.0
dyear10_10_73,420.7930756321924,391.51543179462715,0.7693716425199414,-1.0398223438318144,10.0,120.0
dyear10_10_74,369.3822404817716,349.1378070810054,0.6625807462781321,-inf,10.0,120.0
dyear10_10_75,387.43296463173255,350.646723925948,0.5850745818519859,-inf,10.0,120.0
dyear10_10_76,392.52180141150546,360.7415972687375,0.6178977272727273,-inf,10.0,120.0
dyear10_10_77,376.1452373529849,431.78346232033175,0.8907162899753998,-inf,10.0,120.0
dyear10_10_78,412.7297466260458,371.45597540848183,0.7521526561587857,-inf,10.0,120.0
dyear10_10_79,389.7222969628502,382.8597980984684,0.6552271908741447,-inf,10.0,120.0
dyear10_10_80,395.2814793494209,368.89378552640324,0.7302405998122679,-inf,10.0,120.0
dyear10_10_81,407.70071743866237,360.42105006968353,0.717693387584172,-inf,10.0,120.0
dyear10_10_82,379.69841376632934,364.9227087114932,0.7149198437819877,-inf,10.0,120.0
dyear10_10_83,390.4979993546702,490.922261327256,1.0247916769187868,-inf,10.0,120.0
dyear10_10_84,408.1891156886311,416.11737126280445,0.7584662127697324,-inf,10.0,120.0
dyear10_10_85,397.30460344258114,429.34353960435925,0.8105560213299496,-inf,10.0,120.0
dyear10_10_86,384.81202120862423,417.29336203682897,0.8580904002968085,-inf,10.0,120.0
dyear10_10_87,390.84503802658156,393.28467213118455,0.7907635819192927,-inf,10.0,120.0
dyear10_10_88,376.84927358295386,408.1468791991432,0.68172,-inf,10.0,120.0
dyear10_10_89,379.6077882718776,428.3648658951074,0.8832243166515311,-inf,10.0,120.0
dyear10_10_90,423.49814295145774,401.4677238998589,0.7353774572441326,-inf,10.0,120.0
dyear10_10_91,376.58559230715844,383.15080799427614,0.6937075267434133,-inf,10.0,120.0
dyear10_10_92,394.0447838338514,502.25371244687346,0.9300847160592487,-inf,10.0,120.0
dyear10_10_93,419.4772664678425,376.65031306681976,0.6717199937262283,-inf,10.0,120.0
dyear10_10_94,413.84331777457356,451.9772763462045,0.8198713470718361,-inf,10.0,120.0
dyear10_10_95,359.2550017049171,318.80414572795837,0.6301170693281711,-1.81401310370197,10.0,120.0
dyear10_10_96,405.30401398209716,413.3336021504502,0.7266089978189346,-inf,10.0,120.0
dyear10_10_97,332.48674785621154,337.6959924744937,0.7300947629099614,-inf,10.0,120.0
dyear10_10_98,389.7351664912983,413.5908304109268,0.7520979141725757,-inf,10.0,120.0
dyear10_10_99,379.3029105038171,437.0614468622614,0.8190361775717062,-inf,10.0,120.0
dyear10_10_100,381.53010202341835,345.14067180402446,0.5522172866550377,-inf,10.0,120.0
dyear10_10_101,400.04905949145785,415.1725043079483,0.6974485848752499,-inf,10.0,120.0
dyear10_10_102,404.6595920235509,446.72810522732954,0.7834133156820564,-inf,10.0,120.0
dyear10_10_103,401.89136177164426,456.31933263158305,0.8567410438425948,-inf,10.0,120.0
dyear10_10_104,380.65478126512477,426.5199291944047,0.7987944766686866,-inf,10.0,120.0
dyear10_10_105,416.8989310972145,408.45746412570304,0.7481776048303901,-inf,10.0,120.0
dyear10_10_106,410.4235870820942,403.28732519962324,0.6999611395400022,-inf,10.0,120.0
dyear10_10_107,376.9148058027614,493.9164487373683,0.9783115035278526,-inf,10.0,120.0
dyear10_10_108,389.0297760669055,411.2414132842168,0.8206218802837981,-inf,10.0,120.0
dyear10_10_109,405.2964707059101,411.2519503499852,0.6707990327041565,-0.3273317797742817,10.0,120.0
dyear10_10_110,398.52796848736557,395.43457107339515,0.7157923474462505,-inf,10.0,120.0
dyear10_10_111,400.50697039294255,365.7651796804429,0.6430938852813853,-inf,10.0,120.0
dyear10_10_112,412.3342722638192,425.18907558873144,0.782618744082366,-inf,10.0,120.0
dyear10_10_113,412.293900532941,399.01884876114144,0.7437020032088728,-inf,10.0,120.0
dyear10_10_114,415.38672994772793,387.42504651437633,0.6968193942051226,-inf,10.0,120.0
dyear10_10_115,421.91733738178306,469.4561126097589,0.8510540106530171,-inf,10.0,120.0
dyear10_10_116,394.5569112941757,391.40840776185,0.9023673651964106,-1.0496020877619954,10.0,120.0
dyear10_10_117,395.70659374507943,426.03907293424,0.8401547974178071,-inf,10.0,120.0
dyear10_10_118,392.82906853150945,447.0178501283068,0.7974243034646538,-inf,10.0,120.0
dyear10_10_119,373.8222198897938,368.1876785915936,0.7097663164892589,-inf,10.0,120.0
dyear10_10_120,395.7242305781473,453.0284207420104,0.8478569031143104,-inf,10.0,120.0
dyear10_10_121,408.09652146683794,470.94452964229237,1.0393801339131636,-inf,10.0,120.0
dyear10_10_122,376.35993687337833,446.34259076782416,0.9037491365699625,-inf,10.0,120.0
dyear10_10_123,394.72508893321356,425.50758904317246,0.7770924629088618,-1.1961344692408122,10.0,120.0
dyear10_10_124,411.3689924103015,398.1985476283576,0.7646178231771751,-inf,10.0,120.0
dyear10_10_125,375.95256793022884,361.30192821701536,0.6105683991567897,-inf,10.0,120.0
dyear10_10_126,404.9246457675798,387.49204292905597,0.7536722250450367,-inf,10.0,120.0
dyear10_10_127,366.9609709038097,374.2525328348939,0.8081883706277034,-inf,10.0,120.0
dyear10_10_128,377.0987657983869,426.6936352154006,0.7742333707913731,-inf,10.0,120.0
dyear10_10_129,399.66273541992047,434.9202992120127,0.8176975313976265,-inf,10.0,120.0
dyear10_10_130,377.475909827369,417.61864581617203,0.9082875262501778,-inf,10.0,120.0
dyear10_10_131,357.4703659046439,411.7736028450585,0.7429335935190113,-inf,10.0,120.0
dyear10_10_132,350.82119436639897,405.605514426682,0.8336969425379529,-inf,10.0,120.0
dyear10_10_133,405.4247772398722,396.82127589130096,0.7098406976092378,-inf,10.0,120.0
dyear10_10_134,402.0799179474979,337.08319942312954,0.551366507888247,-inf,10.0,120.0
dyear10_10_135,337.4010503095685,409.19539953425675,0.8861894798993685,-inf,10.0,120.0
dyear10_10_136,414.32208686801465,416.40104866982904,0.7858719768838961,-inf,10.0,120.0
dyear10_10_137,383.85518373904154,381.9276763996032,0.9284154724788574,-inf,10.0,120.0
