,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear20_1.5_89,398.7893854634716,394.5984509599601,0.7602511154995311,-inf,1.5,240.0
dyear20_1.5_90,403.5324813960664,394.7362516077455,0.6932264883083444,-inf,1.5,240.0
dyear20_1.5_91,384.4650504272137,396.68477724762766,0.7237505206734774,-inf,1.5,240.0
dyear20_1.5_92,381.0438650383094,427.54763379846537,0.811739316189859,-inf,1.5,240.0
dyear20_1.5_93,364.96911256296744,418.33339973439047,0.8749290236928104,-inf,1.5,240.0
dyear20_1.5_94,383.23471104533314,425.02916566591836,0.8313532612951217,-inf,1.5,240.0
dyear20_1.5_95,395.1539454756842,366.11792271525485,0.7154314820256636,-inf,1.5,240.0
dyear20_1.5_96,381.7589089770314,351.0075675822389,0.6649212053120281,-inf,1.5,240.0
dyear20_1.5_97,411.2216618909239,370.51175195037115,0.6370473004998276,-inf,1.5,240.0
dyear20_1.5_98,391.7620517716505,387.58241059160565,0.7132682903617809,-inf,1.5,240.0
dyear20_1.5_99,376.1446073320738,419.78789286972057,0.8368566356753364,-inf,1.5,240.0
dyear20_1.5_100,378.9105064193919,339.807758151576,0.6723057023337737,-inf,1.5,240.0
dyear20_1.5_101,366.5635816267077,370.78318012912433,0.7246945923762622,-inf,1.5,240.0
dyear20_1.5_102,378.9343610706213,417.0364192729455,0.7673686958952068,-inf,1.5,240.0
dyear20_1.5_103,377.80717359079705,380.81261796321826,0.7253420808003017,-inf,1.5,240.0
dyear20_1.5_104,385.6545369563283,414.0716775712469,0.7650656094737712,-inf,1.5,240.0
dyear20_1.5_105,392.5148484452531,372.93704786018066,0.7341458454386984,-inf,1.5,240.0
dyear20_1.5_106,398.1591298819272,392.63299233083643,0.7386308311941223,-inf,1.5,240.0
dyear20_1.5_107,418.78065808169,369.2653178948708,0.6228618952204803,-inf,1.5,240.0
dyear20_1.5_108,389.567027287988,424.85933946817426,0.8400698066457737,-inf,1.5,240.0
dyear20_1.5_109,407.7112310406308,409.756736776021,0.7444064245061577,-inf,1.5,240.0
dyear20_1.5_110,394.0345003930493,395.5479585334754,0.7975264749928687,-inf,1.5,240.0
dyear20_1.5_111,383.2942326072752,366.8286100710612,0.6182521181324556,-inf,1.5,240.0
dyear20_1.5_112,401.8471737385578,417.7807189982164,0.8034497885915481,-inf,1.5,240.0
dyear20_1.5_113,383.1841172443521,359.5669559808483,0.6007130421948131,-inf,1.5,240.0
dyear20_1.5_114,363.5335409789125,440.0371906630923,0.8872150657031735,-inf,1.5,240.0
dyear20_1.5_115,403.446996725303,383.0493875903385,0.7153190871492093,-inf,1.5,240.0
dyear20_1.5_116,387.0821335646997,371.7093398521664,0.7081851359438801,-inf,1.5,240.0
dyear20_1.5_117,377.81080610317827,383.6725220375661,0.7142866085040561,-inf,1.5,240.0
dyear20_1.5_118,383.17636958499065,357.9555372761632,0.7141365648201028,-inf,1.5,240.0
dyear20_1.5_119,382.77598295217007,446.5465168005083,0.8297558579233785,-inf,1.5,240.0
dyear20_1.5_120,405.913719793587,385.16389909578317,0.666505826968097,-inf,1.5,240.0
dyear20_1.5_121,387.2644176356339,416.1697870661284,0.786044518312087,-inf,1.5,240.0
dyear20_1.5_122,404.53039260563185,404.01946632144677,0.7197930907189765,-inf,1.5,240.0
dyear20_1.5_123,390.67760979056203,359.52972756087917,0.6663865538306254,-inf,1.5,240.0
dyear20_1.5_124,409.1266167602233,399.9859372527989,0.7656249424792281,-inf,1.5,240.0
dyear20_1.5_125,407.10946265511114,395.20443022145724,0.731943361912185,-inf,1.5,240.0
dyear20_1.5_126,400.6212168308114,369.75332430328916,0.6719112762499625,-inf,1.5,240.0
dyear20_1.5_127,387.72427649469324,344.3961200420237,0.6357417210635249,-inf,1.5,240.0
dyear20_1.5_128,386.2384032779064,389.31582616174234,0.6859931858861892,-inf,1.5,240.0
dyear20_1.5_129,413.75613666143977,405.3886766631089,0.723155605876182,-inf,1.5,240.0
dyear20_1.5_130,381.78382026569255,385.5062688638582,0.8021222683514616,-inf,1.5,240.0
dyear20_1.5_131,381.4615465002119,383.5735479235588,0.8071725981300449,-inf,1.5,240.0
dyear20_1.5_132,378.8733641227193,422.80647168651524,0.8174172397000454,-inf,1.5,240.0
dyear20_1.5_133,403.533939867516,385.40192764610475,0.6863466050586049,-inf,1.5,240.0
dyear20_1.5_134,399.62326660034864,398.69194979750137,0.7463468518895447,-inf,1.5,240.0
