,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear5_1.5_21,386.4555547968399,390.22226572386495,0.7346450210221732,-inf,1.5,60.0
dyear5_1.5_22,336.80821075700237,341.34037264876827,0.7978395061728395,-inf,1.5,60.0
dyear5_1.5_23,399.0406464258998,377.011273041006,0.6450436395834213,-inf,1.5,60.0
dyear5_1.5_24,366.2224392360468,371.083211692472,0.6436513311724961,-inf,1.5,60.0
dyear5_1.5_25,393.51620042890227,474.81996588180664,0.8596042892525304,-1.8996763154987313,1.5,60.0
dyear5_1.5_26,394.5531755458741,330.47844105175756,0.6944743727874404,-inf,1.5,60.0
dyear5_1.5_27,357.0358292011228,537.1614437640388,1.1476130653266332,-inf,1.5,60.0
dyear5_1.5_28,382.4768239166046,347.50707426852,0.5687824987790514,-inf,1.5,60.0
dyear5_1.5_29,364.5026577406535,395.9673808114333,0.7539511494252873,-inf,1.5,60.0
dyear5_1.5_30,412.7200675599221,293.8181126706339,0.4878345240120202,-inf,1.5,60.0
dyear5_1.5_31,400.0771540174053,371.5445240254973,0.6431157852217319,-inf,1.5,60.0
dyear5_1.5_32,381.69605054283704,432.9502473341096,0.769506652990284,-inf,1.5,60.0
dyear5_1.5_33,423.60798997028684,400.7085391320396,0.7444818637742011,-inf,1.5,60.0
dyear5_1.5_34,357.0766140946972,378.1756646498203,0.7969330026422864,-1.1313464720456354,1.5,60.0
dyear5_1.5_35,361.12982430145536,361.4515873529953,0.6814492020420365,-inf,1.5,60.0
dyear5_1.5_36,384.280225443187,419.91487232533217,0.7225673771104782,-inf,1.5,60.0
dyear5_1.5_37,412.23461159878366,410.55734475628776,0.837596210775607,-inf,1.5,60.0
dyear5_1.5_38,407.59214193439334,394.60497124761787,0.7541469194312796,-0.82686966873635,1.5,60.0
dyear5_1.5_39,394.24727857864366,399.0815497280391,0.6079782873161959,-inf,1.5,60.0
dyear5_1.5_40,351.9160056036099,389.49668376850997,0.7011113448324219,-inf,1.5,60.0
dyear5_1.5_41,416.17899794839883,428.46742388813334,0.7899727050711105,-inf,1.5,60.0
dyear5_1.5_42,380.23309736704056,384.3002298550791,0.6584738148537317,-inf,1.5,60.0
dyear5_1.5_43,395.431067528421,320.3295178406136,0.6568992499055637,-inf,1.5,60.0
dyear5_1.5_44,357.5306513666579,357.0773725679072,0.6203729745777277,-inf,1.5,60.0
dyear5_1.5_45,347.59623967087634,391.3297841974209,0.7706477732793522,-3.0427083088760885,1.5,60.0
dyear5_1.5_46,382.6283009222745,331.0785405307931,0.5351393796623478,-inf,1.5,60.0
dyear5_1.5_47,384.27559012597544,402.0741017938526,0.8868197234083681,-inf,1.5,60.0
dyear5_1.5_48,397.4573614448054,381.0863856572855,0.7763060686015831,-inf,1.5,60.0
dyear5_1.5_49,368.3703695557864,380.45148617574534,0.9444672612062895,-inf,1.5,60.0
dyear5_1.5_50,418.5208328148074,404.9677970736274,0.6613961188649985,-inf,1.5,60.0
dyear5_1.5_51,408.1956995935487,391.00991036033855,0.7406553832146456,-inf,1.5,60.0
dyear5_1.5_52,348.0903857716652,452.12627292236255,0.9207521165583776,-inf,1.5,60.0
dyear5_1.5_53,376.157352934469,329.7706273558436,0.4924584900080274,-inf,1.5,60.0
dyear5_1.5_54,438.52261439215806,422.5546315763994,0.6285417340569552,-inf,1.5,60.0
dyear5_1.5_55,367.36216235934444,388.057019006228,0.7792221260325362,-inf,1.5,60.0
dyear5_1.5_56,391.88056216148306,304.3861308710807,0.5643247368843898,-0.05844178558019825,1.5,60.0
dyear5_1.5_57,411.7304184779162,448.2429586730839,0.8048825256975037,-inf,1.5,60.0
dyear5_1.5_58,390.78340121692304,413.2722065015583,0.6840576942121868,-inf,1.5,60.0
dyear5_1.5_59,390.9262505042778,488.31905553643924,0.7353344457811065,-inf,1.5,60.0
dyear5_1.5_60,409.53393225307553,288.61623885937763,0.44170311028548576,-inf,1.5,60.0
dyear5_1.5_61,396.18498415092245,436.7318017578599,0.8471661396253953,-1.64447829089851,1.5,60.0
dyear5_1.5_62,406.41817032050454,357.9656640889831,0.6506586685485768,-inf,1.5,60.0
dyear5_1.5_63,468.8688738158392,495.1339044474064,0.8619990114099766,-inf,1.5,60.0
dyear5_1.5_64,358.1188699300834,486.75875270336263,1.101885377334092,-inf,1.5,60.0
dyear5_1.5_65,363.70727125899845,417.63271343769674,0.8092609301294835,-inf,1.5,60.0
dyear5_1.5_66,371.1812506489698,324.473419558521,0.5962998947453648,-0.026063926837591095,1.5,60.0
dyear5_1.5_67,362.00215814273815,459.38155891009234,0.9249297579350377,-inf,1.5,60.0
dyear5_1.5_68,382.36980354973986,376.21292729871294,0.7428095743654087,-0.6317355534475894,1.5,60.0
dyear5_1.5_69,382.684568759529,430.3753206988833,0.8686095773038842,-inf,1.5,60.0
dyear5_1.5_70,385.3451645386683,463.7028502536224,0.779616134225913,-inf,1.5,60.0
dyear5_1.5_71,395.3972685793365,315.8838130283559,0.5752592899444599,-inf,1.5,60.0
dyear5_1.5_72,397.0599241088596,459.86447278881343,0.798305544259184,-inf,1.5,60.0
dyear5_1.5_73,369.96801663567265,347.74451828893007,0.7589814195275104,-inf,1.5,60.0
dyear5_1.5_74,344.35038478270934,327.05529603824897,0.5966439688715953,-0.2155457694504553,1.5,60.0
dyear5_1.5_75,461.12548003047215,402.86691350866727,0.7292897862941737,-inf,1.5,60.0
dyear5_1.5_76,430.2691018420914,380.47590812910437,0.5628877230604273,-inf,1.5,60.0
dyear5_1.5_77,425.25075935656287,394.5560796642221,0.6781893650731298,-inf,1.5,60.0
