latitude,longitude,rainfall,date
5.104166666666671,35.02083333333333,25.79983,2010-02
5.104166666666671,35.06249999999999,26.886324,2010-02
5.104166666666671,35.10416666666666,27.973734,2010-02
5.104166666666671,35.14583333333333,29.062067,2010-02
5.104166666666671,35.18749999999999,30.151321,2010-02
5.104166666666671,35.22916666666666,30.164198,2010-02
5.104166666666671,35.27083333333333,31.26215,2010-02
5.104166666666671,35.31249999999999,32.36909,2010-02
5.104166666666671,35.35416666666666,33.477966,2010-02
5.104166666666671,35.39583333333333,34.588768,2010-02
5.104166666666671,35.43749999999999,35.7015,2010-02
5.104166666666671,35.47916666666666,36.81616,2010-02
5.104166666666671,35.52083333333333,37.932747,2010-02
5.104166666666671,35.56249999999999,39.05127,2010-02
5.104166666666671,35.60416666666666,40.17172,2010-02
