date,rainfall_mean,rainfall_std,rainfall_min,rainfall_max,rainfall_count
2004-12,52.37173398019569,28.331778493858167,10.140791,168.19626,27696
2005-01,18.61464313794948,12.625227656466178,1.0438594,79.40967,27671
2005-02,20.42179764488152,20.19845647830169,1.2106717,126.79615,27684
2005-03,58.27736275456745,29.07408503406905,10.416697,244.78442,27696
2005-04,73.38045063178798,32.404763864952336,19.779633,281.02777,27696
2005-05,67.82588271828784,59.30321068808076,5.1463633,388.9755,27696
2005-06,25.352378232241072,33.761913543103546,0.31662002,192.5229,24283
2005-07,28.430738469608464,39.50602005329422,0.27059576,209.32051,25898
2005-08,31.363722175395164,43.575626282851395,0.7777723,262.33908,25888
2005-09,25.51653985711564,31.93272154106975,0.86563545,180.80125,25562
2005-10,51.12623544732452,35.19203342831035,4.277194,448.76633,27696
2005-11,58.21355537117273,28.895425987158998,9.693407,301.7368,27696
2005-12,39.12037449221548,21.945232523914658,5.832858,159.49628,27696
2006-01,19.71976886105309,14.084744978083878,1.0438594,85.402145,27671
2006-02,22.302524163286375,23.61668666148561,0.43240213,123.2047,27684
2006-03,84.05494700612002,57.26139665664807,8.40093,311.04938,27696
2006-04,131.30820075621028,70.67267561620869,21.939058,808.21185,27696
2006-05,66.51157610399697,61.357003932784345,6.094363,462.12897,27696
2006-06,21.865752910924925,29.8387183564544,0.24349882,223.5165,24283
2006-07,24.99248345089814,28.590543065923015,0.5210283,166.78857,25898
2006-08,43.457783548722574,73.20551034374331,0.825869,434.89258,25888
2006-09,45.000234892715746,53.786827412364616,1.2447082,260.1374,25562
2006-10,67.24723713193963,54.3233776153199,4.277194,482.22562,27696
2006-11,143.38536576213173,105.37218349232796,24.165161,600.48804,27696
2006-12,77.27435037512637,62.85376630954339,10.140791,386.1443,27696
2007-01,24.283507129532723,21.454065800528753,1.0438594,151.16321,27671
2007-02,25.348931418194628,23.846851897353062,1.2106717,137.34966,27684
2007-03,58.43218155444829,29.016955938134,10.416697,244.32559,27696
2007-04,113.85025426910023,49.696949486363934,37.106647,683.7412,27696
2007-05,70.3525928366876,60.18284088980186,5.1124187,404.37445,27696
2007-06,26.667017940178724,34.033091550222814,0.456943,192.53271,24283
