month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
3,2003,1289,333.24166020170674,304.2265321955004,56.464080682699766,26.196690225753535,16.82017895434019,64.53651668397701,9.376511271413346,21.50843459004686
4,2003,255,328.6674509803921,299.7258823529412,29.850980392156863,26.971760477338513,17.969043093311544,64.56471196926789,9.002717384026969,22.47040178532503
5,2003,97,328.080412371134,299.0505154639175,29.04845360824742,29.147014676910086,19.871822121217082,45.44051062564054,9.275192555693003,24.509418399063584
6,2003,53,320.3301886792453,295.31509433962265,19.918867924528303,29.832631596979102,16.934215491672738,42.91815349965725,12.898416105306364,23.38342354432592
7,2003,127,323.8141732283465,298.7661417322835,26.856692913385828,27.517466289241142,17.3624077546792,57.062446547717585,10.155058534561942,22.43993702196017
8,2003,1053,326.7831908831909,299.49002849002846,39.11196581196582,27.651755063808423,16.800284809821676,40.273606952551205,10.851470253986747,22.22601993681505
9,2003,2895,333.26373056994817,306.05865284974095,39.13160621761658,28.167680454227664,17.940688897181694,27.221292093822555,10.22699155704597,23.05418467570468
10,2003,793,330.8687263556116,303.3349306431274,40.86834804539723,30.509342576527384,19.21745323892161,8.430472851329714,11.291889337605774,24.863397907724497
11,2003,174,328.37471264367815,302.5040229885057,44.01379310344828,31.82328501201811,18.518706114519212,63.93636696963085,13.3045788974989,25.17099556326866
12,2003,218,325.6114678899083,303.14633027522933,27.895412844036695,30.035446342912692,18.241750420875924,187.09598393116187,11.793695922036768,24.138598381894308
1,2004,690,326.03608695652173,301.52,29.28086956521739,28.950880024047486,17.85038094205948,51.9952062276012,11.100499081988005,23.400630483053483
2,2004,1083,329.47036011080337,302.7684210526316,31.067313019390582,29.32275830347589,18.681339179624654,68.62042876348833,10.641419123851236,24.002048741550272
3,2004,1875,332.2736,301.7568,46.8848,29.58984195479909,20.4376330713538,70.35180520579442,9.15220888344529,25.013737513076446
4,2004,282,326.5585106382979,299.1170212765957,34.24148936170213,30.963475765058558,22.26552377616444,104.17550952872432,8.697951988894118,26.6144997706115
5,2004,375,323.7704,298.5664,26.093600000000002,29.590640201086458,21.251004435548502,115.18682864220327,8.339635765537956,25.42082231831748
6,2004,480,323.345,299.1425,30.625,26.961466560101396,15.58552529499173,39.96015406833158,11.375941265109667,21.273495927546563
7,2004,828,327.00688405797104,298.8242753623188,45.765942028985506,26.511815752036476,14.680338057110482,34.77068560515065,11.831477694925994,20.59607690457348
8,2004,323,330.26780185758514,303.9811145510836,34.756965944272444,28.517396403993025,17.372735807299613,150.31666959483306,11.144660596693413,22.94506610564632
9,2004,1012,336.5776679841897,308.0144268774703,42.02361660079052,27.906468076044966,17.99366000524842,85.10199863698223,9.912808070796547,22.950064040646694
10,2004,753,330.79163346613547,304.07290836653385,36.07490039840638,28.27614440668844,17.665966753208952,65.22916263354385,10.61017765347949,22.971055579948697
11,2004,231,325.7038961038961,300.7597402597403,30.01948051948052,31.3001935004682,19.651435817900953,65.27007914401233,11.648757682567247,25.47581465918458
12,2004,180,327.315,301.4216666666667,34.06,29.076630877202785,16.449469194094313,95.8689437133858,12.627161683108472,22.763050035648547
1,2005,407,327.72628992628995,303.36830466830463,31.306633906633905,27.634962616724057,15.870738477849251,27.966493729030525,11.764224138874805,21.752850547286656
2,2005,984,330.9366869918699,302.7110772357724,45.96707317073171,25.805532368024192,14.007234301383106,148.40525737373844,11.798298066641086,19.906383334703648
3,2005,680,334.78499999999997,302.70941176470586,58.828823529411764,28.650789118569996,19.435736951236464,73.32169832457824,9.215052167333532,24.04326303490323
4,2005,173,326.4549132947977,300.34104046242777,40.05606936416185,28.07514235485031,18.159649270953548,55.27855504188477,9.915493083896763,23.11739581290193
5,2005,46,324.35434782608695,297.53478260869565,27.619565217391305,31.698407389900908,18.96545134650336,33.239610346880816,12.732956043397547,25.331929368202132
6,2005,29,320.22758620689655,294.0137931034483,28.137931034482758,27.730622488876868,14.95706112631436,58.37196091505197,12.773561362562509,21.343841807595613
7,2005,83,320.8686746987952,296.62048192771084,29.59036144578313,26.282583742256623,16.13804150866223,73.06678313713572,10.144542233594393,21.210312625459427
8,2005,639,327.58779342723005,303.74037558685444,29.285446009389673,27.347696122630232,17.033835235304185,43.96690764852857,10.313860887326047,22.19076567896721
9,2005,2979,334.48761329305137,305.1086606243706,45.70855991943605,29.125485106681637,17.375059531108164,29.767786277358315,11.750425575573473,23.2502723188949
10,2005,640,329.11171875,302.6696875,40.99140625,30.228449594692922,17.926040083497437,18.949795654948595,12.302409511195485,24.07724483909518
11,2005,125,324.2824,297.692,40.912800000000004,29.234831841786693,16.72797687915193,77.8777478322261,12.506854962634762,22.981404360469313
12,2005,358,326.22318435754187,303.36871508379886,29.47905027932961,29.72636194536763,17.553788792796254,82.60301007905629,12.172573152571374,23.64007536908194
1,2006,1560,329.0201923076923,304.9882692307692,36.139230769230764,28.77411236108472,15.02045207076279,33.21605544183232,13.753660290321928,21.897282215923752
2,2006,1998,329.74504504504506,301.4018018018018,40.62462462462462,25.61805876713609,13.374700140145922,78.92189325116168,12.243358626990169,19.496379453641005
3,2006,1161,335.99069767441864,302.56614987080104,58.13023255813953,30.76937034216388,22.179904755383365,85.59972020740084,8.589465586780516,26.47463754877362
4,2006,204,324.4779411764706,298.6058823529412,25.680882352941175,31.273741591901878,22.07001498799114,151.91190979864174,9.203726603910738,26.67187828994651
5,2006,114,317.5,293.9105263157895,26.11052631578947,25.46308916506155,14.933095964570752,126.35123541798953,10.529993200490798,20.19809256481615
6,2006,108,319.85555555555555,295.71944444444443,29.98611111111111,26.046896145394996,14.53012692776215,54.5542505423668,11.516769217632845,20.288511536578575
7,2006,87,322.7241379310345,298.17241379310343,23.900000000000002,27.57049189414179,16.297318411221465,64.49982335550752,11.273173482920324,21.933905152681625
8,2006,85,325.00470588235294,300.63882352941175,30.204705882352943,29.389715867884025,17.7164509156171,241.9474417293772,11.673264952266926,23.55308339175056
9,2006,261,332.52758620689656,306.8521072796935,34.23141762452107,31.040408104889153,18.468471741676332,114.7577770269834,12.57193636321282,24.754439923282742
10,2006,873,332.2697594501718,304.5171821305842,39.004123711340206,29.332981594048952,18.44142928250493,68.92260124494898,10.891552311544022,23.887205438276943
11,2006,90,318.9733333333333,297.3,27.7,30.707036865916606,21.263714282147895,96.83112916895617,9.443322583768712,25.98537557403225
12,2006,42,317.35714285714283,298.8285714285714,14.75,29.5252940136531,19.441227496187647,116.16887756914817,10.084066517465452,24.483260754920373
1,2007,83,322.5313253012048,301.9457831325301,24.81686746987952,31.670218525162664,18.663254388948765,30.708611313889662,13.006964136213899,25.166736457055713
2,2007,711,329.31054852320676,304.1410689170183,34.98115330520394,29.51712800730829,21.460856365746466,118.92950544549133,8.056271641561825,25.488992186527376
3,2007,699,328.66309012875536,301.03361945636624,37.58469241773963,29.432138321432248,19.67873701906916,78.63627242915942,9.753401302363088,24.555437670250704
4,2007,364,329.925,300.2365384615385,33.323626373626375,31.23221542134005,19.536692979328993,34.17248749510948,11.695522442011058,25.384454200334524
5,2007,136,327.88529411764705,300.4985294117647,39.17573529411764,30.534156539223407,18.247922172983184,79.3837391784558,12.286234366240222,24.391039356103295
6,2007,251,328.4362549800797,298.4545816733068,34.24382470119522,27.79024084472657,17.534796180725095,25.107178327502037,10.255444664001473,22.662518512725832
7,2007,281,324.81352313167264,297.55516014234877,38.61352313167259,29.391405787781206,18.850032604523815,49.18822557125648,10.541373183257392,24.12071919615251
8,2007,1146,331.0086387434555,300.367277486911,44.207068062827226,28.710197000415597,17.369739311596504,56.11064397259706,11.340457688819093,23.03996815600605
9,2007,2208,332.51929347826086,304.12255434782605,43.20054347826087,30.133122142373566,18.056078361566936,47.50118556843532,12.07704378080663,24.09460025197025
10,2007,479,331.1810020876827,304.2060542797495,34.63736951983299,28.16972667629979,17.427639805970074,34.444697415053966,10.742086870329715,22.79868324113493
11,2007,369,326.2119241192412,299.6864498644986,34.954742547425475,31.754435843278017,20.437937236223064,67.33608376132986,11.316498607054953,26.09618653975054
12,2007,541,328.2543438077634,303.022550831793,37.28632162661738,31.147165135542544,19.528928507647468,124.95751721729606,11.618236627895076,25.338046821595007
1,2008,2304,327.70338541666666,301.5162760416667,31.354166666666668,28.903288023066807,15.247011312860064,27.923233854171382,13.656276710206743,22.075149667963437
2,2008,2814,329.20319829424307,302.5127931769723,46.97420042643923,27.35970687972792,15.43477111246158,70.04937959403783,11.92493576726634,21.39723899609475
3,2008,2358,331.50877862595416,302.51284987277353,41.30089058524173,27.958037672301362,16.718150265407505,100.65865303462508,11.239887406893857,22.338093968854434
4,2008,339,325.0858407079646,299.8769911504425,24.705309734513275,29.583085387829918,19.647415233545953,88.66479178005062,9.935670154283965,24.615250310687934
5,2008,249,324.56626506024094,299.3,28.90120481927711,29.181662451987876,17.749375758815113,84.92658057332088,11.432286693172763,23.465519105401494
6,2008,336,323.25357142857143,293.99017857142854,46.479464285714286,22.305930965503446,11.805645723166654,70.74579261350381,10.500285242336792,17.05578834433505
7,2008,210,321.32142857142856,297.96714285714285,19.777142857142856,27.237423840591205,17.368316783174702,31.19150668531909,9.869107057416503,22.302870311882955
8,2008,231,334.4445887445887,299.8103896103896,55.86883116883117,26.146120320195728,14.996493893084322,172.32087584785793,11.149626427111405,20.571307106640024
9,2008,867,334.6612456747405,307.55167243367936,36.52433679354095,31.90411764596928,18.30049256152577,58.09695398641957,13.603625084443511,25.102305103747526
10,2008,825,329.1938181818182,302.0829090909091,32.13818181818182,31.118770601510462,21.061986490823482,28.628760481721365,10.05678411068698,26.090378546166974
11,2008,210,319.8285714285714,297.7785714285714,18.284285714285712,28.72130211446612,18.54027831976966,132.2316459316585,10.181023794696461,23.63079021711789
12,2008,360,322.5775,299.67,19.911666666666665,27.95556255371546,17.082383866880924,57.36876837015684,10.873178686834535,22.518973210298192
